city_simple,city_cn
changle,昌乐
taiyuan,太原
lvliang,吕梁
datong,大同
xinzhou,忻州
jincheng,晋城
shuozhou,朔州
yuncheng,运城
changzhi,长治
yangquan,阳泉
jinzhong,晋中
jiexiu,介休
linfen,临汾
qixian,祁县
pingyao,平遥
xian,西安
xianyang,咸阳
shangluo,商洛
ankang,安康
baoji,宝鸡
yanan,延安
yulin,榆林
hanzhong,汉中
weinan,渭南
tongchuan,铜川
chenggu,城固
mianxian,勉县
chengdu,成都
nanchong,南充
yibin,宜宾
guangyuan,广元
deyang,德阳
luzhou,泸州
mianyang,绵阳
zigong,自贡
xichang,西昌
dazhou,达州
yaan,雅安
panzhihua,攀枝花
neijiang,内江
guangan,广安
leshan,乐山
suining,遂宁
meishan,眉山
bazhong,巴中
dujiangyan,都江堰
ziyang,资阳
emeishan,峨眉山
taibei,台北
gaoxiong,高雄
lasa,拉萨
rikaze,日喀则
shannan,山南
wulumuqi,乌鲁木齐
yining,伊宁
yili,伊犁
kelamayi,克拉玛依
tulufan,吐鲁番
hami,哈密
tacheng,塔城
shihezi,石河子
akesu,阿克苏
hetian,和田
kashi,喀什
changji,昌吉
bole,博乐
kuitun,奎屯
kuerle,库尔勒
boertala,博尔塔拉
wujiaqu,五家渠
aletai,阿勒泰
shuanghe,双河
tiemenguan,铁门关
tumushuke,图木舒克
kekedala,可克达拉
alaer,阿拉尔
beitun,北屯
kezilesu,克孜勒苏
kunyu,昆玉
kuche,库车
kunming,昆明
lincang,临沧
lijiang,丽江
dali,大理
qujing,曲靖
chuxiong,楚雄
yuxi,玉溪
gejiu,个旧
kaiyuan,开远
tengchong,腾冲
baoshan,保山
zhaotong,昭通
simao,思茅
jinghong,景洪
luxi,潞西
anning,安宁
xianggelila,香格里拉
shilin,石林
nujiang,怒江
jianshui,建水
mengzi,蒙自
hangzhou,杭州
jiaxing,嘉兴
ningbo,宁波
huzhou,湖州
shaoxing,绍兴
wenzhou,温州
zhoushan,舟山
jinhua,金华
taizhou2,台州
quzhou,衢州
lishui,丽水
yiwu,义乌
yuyao,余姚
cixi,慈溪
haining,海宁
tongxiang,桐乡
jiashan,嘉善
zhuji,诸暨
pinghu,平湖
fuyang2,富阳
yuhuan,玉环
wenling,温岭
ruian,瑞安
shangyu,上虞
yongkang,永康
fenghua,奉化
xiangshan,象山
dongyang,东阳
linan,临安
tonglu,桐庐
linhai,临海
jiande,建德
ninghai,宁海
xinchang,新昌
haiyan,海盐
lanxi,兰溪
yueqing,乐清
fuling,涪陵
jiangjin,江津
qijiang,綦江
hechuan,合川
dazu,大足
wanzhou,万州
