city_simple,city_cn
nj,南京
sh,上海
tj,天津
hz,杭州
xa,西安
bj,北京
km,昆明
gz,广州
dl,大连
xm,厦门
cd,成都
lz,兰州
sy,沈阳
wh,武汉
suz,苏州
sz,深圳
cq,重庆
heb,哈尔滨
hf,合肥
cz,常州
cc,长春
nt,南通
jx,嘉兴
wlmq,乌鲁木齐
xz,徐州
nb,宁波
wx,无锡
sx,绍兴
wz,温州
jh,金华
taiz,台州
sjz,石家庄
ty,太原
hhht,呼和浩特
jn,济南
zz,郑州
cs,长沙
fz,福州
nc,南昌
nn,南宁
gy,贵阳
dg,东莞
fos,佛山
qd,青岛
chuz,滁州
whu,芜湖
ly,洛阳
hk,香港
tb,台北
gx,高雄
